# The standard corpora the Benchmark tab offers, in picker order. Columns:
#   1 id <TAB> 2 title <TAB> 3 language tag <TAB> 4 manifest, relative to Application Support/Speech/Corpora <TAB> 5 recordings in the full set
#   6 archive bytes to download <TAB> 7 bytes on disk once unpacked <TAB> 8 speech's fetch tool <TAB> 9 its argument
#   10 the archive while it downloads, relative to the Corpora directory <TAB> 11 where it comes from and its license
# The id is the corpus column of speech's published measurements (docs/benchmarks/measurements.tsv), and the manifest path is where
# speech's tools/fetch-fleurs.sh and tools/fetch-librispeech.sh put a corpus when SPEECH_CORPUS_DIR is that Corpora directory.
# Download sizes are the servers' Content-Length and unpacked sizes were measured with du, both on 2026-09-15.
cmn_hans_cn	FLEURS Chinese (Mandarin)	zh-CN	fleurs/cmn_hans_cn/manifest.tsv	945	525346466	710176768	fetch-fleurs.sh	cmn_hans_cn	fleurs/cmn_hans_cn/test.tar.gz	FLEURS is published by Google on Hugging Face under the CC BY 4.0 license.
en_us	FLEURS English (US)	en-US	fleurs/en_us/manifest.tsv	647	289851356	410316800	fetch-fleurs.sh	en_us	fleurs/en_us/test.tar.gz	FLEURS is published by Google on Hugging Face under the CC BY 4.0 license.
fr_fr	FLEURS French	fr-FR	fleurs/fr_fr/manifest.tsv	676	349036055	451051520	fetch-fleurs.sh	fr_fr	fleurs/fr_fr/test.tar.gz	FLEURS is published by Google on Hugging Face under the CC BY 4.0 license.
de_de	FLEURS German	de-DE	fleurs/de_de/manifest.tsv	862	568734559	728244224	fetch-fleurs.sh	de_de	fleurs/de_de/test.tar.gz	FLEURS is published by Google on Hugging Face under the CC BY 4.0 license.
pl_pl	FLEURS Polish	pl-PL	fleurs/pl_pl/manifest.tsv	758	354544776	474185728	fetch-fleurs.sh	pl_pl	fleurs/pl_pl/test.tar.gz	FLEURS is published by Google on Hugging Face under the CC BY 4.0 license.
es_419	FLEURS Spanish (Latin America)	es-419	fleurs/es_419/manifest.tsv	908	582112372	714153984	fetch-fleurs.sh	es_419	fleurs/es_419/test.tar.gz	FLEURS is published by Google on Hugging Face under the CC BY 4.0 license.
librispeech-test-clean	LibriSpeech test-clean (English, clear speech)	en-US	LibriSpeech/test-clean/manifest.tsv	2620	346663984	373653504	fetch-librispeech.sh	test-clean	LibriSpeech/test-clean.tar.gz	LibriSpeech is published on OpenSLR under the CC BY 4.0 license.
librispeech-test-other	LibriSpeech test-other (English, harder speech)	en-US	LibriSpeech/test-other/manifest.tsv	2939	328757843	359153664	fetch-librispeech.sh	test-other	LibriSpeech/test-other.tar.gz	LibriSpeech is published on OpenSLR under the CC BY 4.0 license.
# Every other FLEURS language, by title. speech publishes no reference measurements for these, so the tab shows this Mac's results alone.
# Their recordings and download sizes are Hugging Face's own numbers, read from the dataset API and header-only requests on 2026-09-15;
# the unpacked size is the test split byte count plus 3 percent, the margin the six measured rows above needed.
af_za	FLEURS Afrikaans	af-ZA	fleurs/af_za/manifest.tsv	264	156331424	210574472	fetch-fleurs.sh	af_za	fleurs/af_za/test.tar.gz	FLEURS is published by Google on Hugging Face under the CC BY 4.0 license.
